trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.4715, 'e': 0.75201425431938262}",20,0,-41.912047119961244,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.471, 'e': 0.74826356757856527}",20,0,-67.4278240947565,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.4705, 'e': 0.74453158746590942}",25,0,-27.135037944142212,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
60,False,"{'a': 0.47, 'e': 0.74081822068171788}",25,0,-73.30970629351151,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
61,False,"{'a': 0.4695, 'e': 0.73712337439162778}",20,0,-40.43953857759152,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
62,False,"{'a': 0.469, 'e': 0.73344695622428924}",25,0,-30.73611465061957,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
63,False,"{'a': 0.46849999999999997, 'e': 0.72978887426905681}",25,0,-71.97820646914073,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
64,False,"{'a': 0.46799999999999997, 'e': 0.72614903707369094}",25,0,-43.28897298665419,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 0.46749999999999997, 'e': 0.72252735364207221}",30,0,-123.17772546619003,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
66,False,"{'a': 0.46699999999999997, 'e': 0.71892373343192617}",25,0,-100.46759764299848,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
67,False,"{'a': 0.46649999999999997, 'e': 0.71533808635255991}",25,0,-118.15998638949219,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
68,False,"{'a': 0.46599999999999997, 'e': 0.71177032276260965}",20,0,-54.593439109800855,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
69,False,"{'a': 0.46549999999999997, 'e': 0.70822035346779999}",30,18,-43.24981124695838,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
70,False,"{'a': 0.46499999999999997, 'e': 0.70468808971871344}",20,8,16.90758167659257,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.46449999999999997, 'e': 0.70117344320857244}",25,0,-163.64365931604155,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
72,False,"{'a': 0.46399999999999997, 'e': 0.69767632607103103}",25,0,-96.5365459848463,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
73,False,"{'a': 0.46349999999999997, 'e': 0.69419665087797888}",25,0,-70.55853156840311,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
74,False,"{'a': 0.46299999999999997, 'e': 0.69073433063735468}",20,0,-134.1027198315941,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
75,False,"{'a': 0.46249999999999997, 'e': 0.68728927879097224}",20,0,-97.05003004617825,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
76,False,"{'a': 0.46199999999999997, 'e': 0.68386140921235583}",30,0,-107.04366240092767,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
77,False,"{'a': 0.46149999999999997, 'e': 0.68045063620458768}",25,0,-117.52584591663117,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
78,False,"{'a': 0.46099999999999997, 'e': 0.67705687449816465}",25,0,-55.81666543012618,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
79,False,"{'a': 0.46049999999999996, 'e': 0.67368003924886766}",20,9,-10.649030635674796,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.45999999999999996, 'e': 0.67032004603563933}",20,0,-78.01259192216216,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
81,False,"{'a': 0.45949999999999996, 'e': 0.66697681085847438}",20,10,5.173275885434328,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.45899999999999996, 'e': 0.6636502501363194}",20,0,-54.10510760697966,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
83,False,"{'a': 0.45849999999999996, 'e': 0.66034028070498285}",30,0,-60.48023989144717,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
84,False,"{'a': 0.45799999999999996, 'e': 0.65704681981505675}",25,0,-50.250833116377564,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.45749999999999996, 'e': 0.65376978512984729}",20,0,-94.11291200607982,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
86,False,"{'a': 0.45699999999999996, 'e': 0.65050909472331653}",20,0,-65.78530979676502,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.45649999999999996, 'e': 0.64726466707803465}",20,10,7.846238282422888,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.45599999999999996, 'e': 0.64403642108314141}",25,0,-24.844306998617807,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
89,False,"{'a': 0.45549999999999996, 'e': 0.64082427603231873}",20,0,-128.4553781936275,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
90,False,"{'a': 0.45499999999999996, 'e': 0.63762815162177333}",20,0,-24.672285353557484,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
91,False,"{'a': 0.45449999999999996, 'e': 0.63444796794822822}",20,16,8.18648097140457,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.45399999999999996, 'e': 0.63128364550692595}",25,0,-35.960678845905235,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
